Aviso,Nro.,Emisión,Inicio,Fin,Duración,Nivel
Aviso,Nro.,Emisión,Inicio,Fin,Duración,Nivel
LLUVIA EN LA SELVA (EXTENSIÓN DEL AVISO 258),259,2023-11-21,2023-11-22,2023-11-23,47 Hrs.,ROJO
INCREMENTO DE TEMPERATURA DIURNA EN LA SIERRA Y SELVA,256,2023-11-15,2023-11-17,2023-11-19,61 Hrs.,ROJO
PRECIPITACIONES EN LA SIERRA,254,2023-11-14,2023-11-16,2023-11-17,47 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA,249,2023-11-09,2023-11-10,2023-11-11,47 Hrs.,NARANJA
LLUVIA EN LA SELVA,248,2023-11-07,2023-11-09,2023-11-10,47 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA,247,2023-11-07,2023-11-09,2023-11-11,71 Hrs.,NARANJA
INCREMENTO DE TEMPERATURA  DIURNA EN LA SELVA,246,2023-11-05,2023-11-07,2023-11-08,40 Hrs.,NARANJA
LLUVIA EN LA SELVA (EXTENSIÓN DEL AVISO 243),244,2023-11-03,2023-11-05,2023-11-05,23 Hrs.,NARANJA
LLUVIA EN LA SELVA,243,2023-11-01,2023-11-03,2023-11-04,35 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA,242,2023-11-01,2023-11-03,2023-11-05,71 Hrs.,NARANJA
LLUVIA EN LA SELVA,239,2023-10-28,2023-10-30,2023-11-01,71 Hrs.,NARANJA
LLUVIA EN LA SELVA,236,2023-10-26,2023-10-28,2023-10-29,47 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA,235,2023-10-26,2023-10-28,2023-10-30,71 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA (EXTENSIÓN DEL AVISO 233),234,2023-10-24,2023-10-26,2023-10-27,47 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA,233,2023-10-22,2023-10-23,2023-10-25,57 Hrs.,NARANJA
INCREMENTO DE TEMPERATURA DIURNA EN LA SIERRA Y SELVA,231,2023-10-19,2023-10-22,2023-10-25,85 Hrs.,ROJO
LLUVIA EN LA SELVA,230,2023-10-18,2023-10-20,2023-10-22,71 Hrs.,AMARILLO
INCREMENTO DE TEMPERATURA DIURNA EN LA SELVA,227,2023-10-13,2023-10-15,2023-10-17,61 Hrs.,NARANJA
LLUVIA EN LA SELVA,226,2023-10-11,2023-10-13,2023-10-15,71 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA,224,2023-10-11,2023-10-13,2023-10-15,71 Hrs.,AMARILLO
INCREMENTO DE TEMPERATURA DIURNA EN LA SELVA,222,2023-10-09,2023-10-11,2023-10-12,40 Hrs.,NARANJA
INCREMENTO DE TEMPERATURA DIURNA EN LA SIERRA,221,2023-10-09,2023-10-11,2023-10-12,40 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA,220,2023-10-07,2023-10-08,2023-10-10,71 Hrs.,NARANJA
LLUVIA EN LA SELVA,219,2023-10-06,2023-10-08,2023-10-10,71 Hrs.,AMARILLO
INCREMENTO DE TEMPERATURA  DIURNA EN LA SELVA (EXTENSIÓN DEL AVISO 214),217,2023-10-03,2023-10-06,2023-10-07,47 Hrs.,NARANJA
INCREMENTO DE TEMPERATURA  DIURNA EN LA SELVA,214,2023-10-01,2023-10-03,2023-10-05,61 Hrs.,NARANJA
LLUVIA EN LA SELVA,210,2023-09-29,2023-09-29,2023-09-30,35 Hrs.,NARANJA
INCREMENTO DE TEMPERATURA DIURNA EN LA SIERRA,209,2023-09-27,2023-09-29,2023-09-30,47 Hrs.,NARANJA
INCREMENTO DE TEMPERATURA DIURNA EN LA SIERRA,207,2023-09-25,2023-09-26,2023-09-28,61 Hrs.,NARANJA
INCREMENTO DE TEMPERATURA DIURNA EN LA SELVA,206,2023-09-25,2023-09-26,2023-09-28,61 Hrs.,NARANJA
INCREMENTO DE TEMPERATURA DIURNA EN LA SELVA,204,2023-09-19,2023-09-21,2023-09-23,61 Hrs.,NARANJA
INCREMENTO DE TEMPERATURA DIURNA EN LA SELVA,202,2023-09-16,2023-09-17,2023-09-18,47 Hrs.,NARANJA
LLUVIA EN LA SELVA,199,2023-09-11,2023-09-13,2023-09-15,59 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA,198,2023-09-11,2023-09-13,2023-09-14,47 Hrs.,AMARILLO
INCREMENTO DE TEMPERATURA DIURNA EN LA SIERRA Y SELVA (EXTENSIÓN DEL AVISO 194),196,2023-09-09,2023-09-11,2023-09-12,47 Hrs.,NARANJA
INCREMENTO DE TEMPERATURA DIURNA EN LA SIERRA Y SELVA,194,2023-09-06,2023-09-08,2023-09-10,61 Hrs.,NARANJA
LLUVIA EN LA SELVA,189,2023-09-03,2023-09-05,2023-09-06,47 Hrs.,AMARILLO
INCREMENTO DE TEMPERATURA EN LA SELVA (EXTENSIÓN DEL AVISO 184),186,2023-08-31,2023-09-02,2023-09-03,47 Hrs.,NARANJA
INCREMENTO DE TEMPERATURA EN LA SELVA,184,2023-08-28,2023-08-30,2023-09-01,71 Hrs.,NARANJA
INCREMENTO DE TEMPERATURA EN LA SELVA,177,2023-08-21,2023-08-23,2023-08-25,71 Hrs.,NARANJA
DESCENSO DE TEMPERATURA NOCTURNA EN LA SIERRA (EXTENSIÓN DEL AVISO 172),175,2023-08-18,2023-08-20,2023-08-22,71 Hrs.,NARANJA
INCREMENTO DE TEMPERATURA DIURNA EN LA SIERRA,173,2023-08-16,2023-08-18,2023-08-20,71 Hrs.,NARANJA
DESCENSO DE TEMPERATURA NOCTURNA EN LA SIERRA,172,2023-08-15,2023-08-17,2023-08-19,71 Hrs.,NARANJA
INCREMENTO DE TEMPERATURA EN LA SELVA,171,2023-08-15,2023-08-17,2023-08-19,57 Hrs.,NARANJA
LLUVIA EN LA SELVA,165,2023-08-09,2023-08-12,2023-08-14,59 Hrs.,NARANJA
INCREMENTO DE TEMPERATURA EN LA SELVA (EXTENSIÓN DEL AVISO 161),163,2023-08-06,2023-08-07,2023-08-07,23 Hrs.,NARANJA
INCREMENTO DE TEMPERATURA DIURNA EN LA SIERRA (EXTENSIÓN DEL AVISO 159),160,2023-08-03,2023-08-04,2023-08-06,71 Hrs.,NARANJA
INCREMENTO DE TEMPERATURA DIURNA EN LA SIERRA,159,2023-08-01,2023-08-02,2023-08-03,47 Hrs.,NARANJA
INCREMENTO DE TEMPERATURA DIURNA EN LA SELVA,155,2023-07-28,2023-07-30,2023-08-01,59 Hrs.,NARANJA
LLUVIA EN LA SELVA,154,2023-07-26,2023-07-28,2023-07-29,47 Hrs.,AMARILLO
INCREMENTO DE VIENTO EN LA SIERRA NORTE,153,2023-07-26,2023-07-28,2023-07-30,61 Hrs.,AMARILLO
INCREMENTO DE TEMPERATURA DIURNA EN LA SIERRA Y SELVA ALTA CENTRAL,152,2023-07-24,2023-07-25,2023-07-27,57 Hrs.,NARANJA
DESCENSO DE TEMPERATURA NOCTURNA EN LA SIERRA (EXTENSIÓN DEL AVISO 147),150,2023-07-22,2023-07-24,2023-07-25,32 Hrs.,NARANJA
INCREMENTO DE TEMPERATURA DIURNA EN LA SIERRA Y SELVA,148,2023-07-20,2023-07-22,2023-07-24,61 Hrs.,ROJO
DESCENSO DE TEMPERATURA NOCTURNA EN LA SIERRA,147,2023-07-19,2023-07-21,2023-07-23,71 Hrs.,NARANJA
DESCENSO DE TEMPERATURA NOCTURNA EN LA SIERRA,138,2023-07-03,2023-07-05,2023-07-07,71 Hrs.,NARANJA
DESCENSO DE TEMPERATURA NOCTURNA EN LA SIERRA,137,2023-06-30,2023-07-02,2023-07-04,71 Hrs.,NARANJA
DESCENSO DE TEMPERATURA NOCTURNA EN LA SIERRA (ACTUALIZACIÓN DEL AVISO 131),132,2023-06-19,2023-06-20,2023-06-22,71 Hrs.,NARANJA
DESCENSO DE TEMPERATURA NOCTURNA EN LA SIERRA,129,2023-06-15,2023-06-17,2023-06-19,71 Hrs.,NARANJA
FRIAJE EN LA SELVA (EXTENSIÓN DEL AVISO 123),128,2023-06-14,2023-06-16,2023-06-17,47 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA,125,2023-06-11,2023-06-12,2023-06-14,71 Hrs.,AMARILLO
INCREMENTO DE VIENTO EN LA SELVA,124,2023-06-09,2023-06-13,2023-06-15,71 Hrs.,NARANJA
FRIAJE EN LA SELVA,123,2023-06-09,2023-06-13,2023-06-15,71 Hrs.,ROJO
LLUVIA EN LA SELVA,122,2023-06-09,2023-06-12,2023-06-14,71 Hrs.,NARANJA
PRECIPITACIONES EN LA COSTA NORTE Y SIERRA,114,2023-05-23,2023-05-25,2023-05-27,59 Hrs.,AMARILLO
LLUVIA EN LA SELVA,112,2023-05-20,2023-05-22,2023-05-24,71 Hrs.,ROJO
INCREMENTO DE VIENTO EN LA SELVA,107,2023-05-11,2023-05-13,2023-05-14,47 Hrs.,AMARILLO
LLUVIA EN LA SELVA (EXTENSIÓN DEL AVISO 099),102,2023-05-06,2023-05-08,2023-05-09,47 Hrs.,NARANJA
LLUVIA EN LA SELVA,099,2023-05-02,2023-05-05,2023-05-07,71 Hrs.,NARANJA
INCREMENTO DE TEMPERATURA DIURNA EN LA SELVA,093,2023-04-28,2023-04-29,2023-05-01,54 Hrs.,NARANJA
LLUVIA EN LA SELVA NORTE,092,2023-04-26,2023-04-28,2023-04-29,47 Hrs.,NARANJA
LLUVIA EN LA SELVA,086,2023-04-21,2023-04-23,2023-04-24,47 Hrs.,NARANJA
PRECIPITACIONES EN LA COSTA NORTE Y SIERRA NORTE-CENTRO,084,2023-04-20,2023-04-22,2023-04-23,47 Hrs.,ROJO
LLUVIA EN LA SELVA,082,2023-04-17,2023-04-19,2023-04-21,71 Hrs.,NARANJA
PRECIPITACIONES EN LA COSTA NORTE Y SIERRA NORTE-CENTRO,077,2023-04-14,2023-04-16,2023-04-18,71 Hrs.,ROJO
LLUVIA EN LA SELVA,076,2023-04-13,2023-04-15,2023-04-17,71 Hrs.,NARANJA
PRECIPITACIONES EN LA COSTA NORTE Y LA SIERRA (ACTUALIZACIÓN DEL AVISO 074),075,2023-04-13,2023-04-15,2023-04-15,23 Hrs.,ROJO
PRECIPITACIONES EN LA COSTA NORTE Y LA SIERRA,074,2023-04-11,2023-04-13,2023-04-15,71 Hrs.,ROJO
PRECIPITACIONES EN LA COSTA NORTE Y SIERRA,073,2023-04-08,2023-04-10,2023-04-12,71 Hrs.,ROJO
LLUVIA EN LA SELVA (ACTUALIZACIÓN DEL AVISO 068),071,2023-04-05,2023-04-08,2023-04-08,23 Hrs.,NARANJA
PRECIPITACIONES EN LA COSTA NORTE Y SIERRA,070,2023-04-05,2023-04-07,2023-04-09,71 Hrs.,ROJO
LLUVIA EN LA SELVA,068,2023-04-03,2023-04-05,2023-04-08,95 Hrs.,NARANJA
PRECIPITACIONES EN LA COSTA NORTE Y SIERRA (EXTENSIÓN DEL AVISO 064),067,2023-04-02,2023-04-04,2023-04-06,71 Hrs.,ROJO
LLUVIA EN LA SELVA,062,2023-03-28,2023-03-30,2023-03-31,47 Hrs.,NARANJA
LLUVIA EN LA SELVA,060,2023-03-26,2023-03-27,2023-03-27,23 Hrs.,NARANJA
PRECIPITACIONES EN LA COSTA NORTE Y SIERRA,059,2023-03-25,2023-03-27,2023-03-29,71 Hrs.,ROJO
PRECIPITACIONES EN LA COSTA NORTE Y SIERRA,058,2023-03-22,2023-03-24,2023-03-26,71 Hrs.,NARANJA
LLUVIA EN LA SELVA,055,2023-03-20,2023-03-22,2023-03-24,71 Hrs.,NARANJA
LLUVIA EN LA SELVA,050,2023-03-15,2023-03-17,2023-03-19,71 Hrs.,NARANJA
PRECIPITACIONES EN LA COSTA Y SIERRA,048,2023-03-13,2023-03-15,2023-03-17,71 Hrs.,ROJO
LLUVIA EN LA SELVA,047,2023-03-11,2023-03-13,2023-03-14,47 Hrs.,NARANJA
PRECIPITACIONES EN LA COSTA Y SIERRA,046,2023-03-10,2023-03-12,2023-03-14,71 Hrs.,ROJO
LLUVIA EN LA SELVA,045,2023-03-07,2023-03-09,2023-03-11,71 Hrs.,NARANJA
PRECIPITACIONES EN LA COSTA NORTE Y SIERRA,044,2023-03-07,2023-03-09,2023-03-11,71 Hrs.,ROJO
PRECIPITACIONES EN LA COSTA NORTE Y SIERRA,043,2023-03-04,2023-03-06,2023-03-08,71 Hrs.,ROJO
LLUVIA EN LA SELVA,041,2023-03-01,2023-03-03,2023-03-05,71 Hrs.,NARANJA
INCREMENTO DE VIENTO EN LA SIERRA NORTE,039,2023-02-26,2023-02-28,2023-03-01,47 Hrs.,NARANJA
LLUVIA EN LA SELVA,038,2023-02-25,2023-02-27,2023-02-28,47 Hrs.,NARANJA
PRECIPITACIONES EN LA COSTA NORTE Y SIERRA,037,2023-02-24,2023-02-26,2023-02-27,47 Hrs.,NARANJA
LLUVIA EN LA SELVA,030,2023-02-13,2023-02-17,2023-02-19,71 Hrs.,ROJO
LLUVIA EN LA SELVA NORTE Y CENTRO,028,2023-02-10,2023-02-12,2023-02-13,47 Hrs.,AMARILLO
LLUVIA EN LA SELVA,026,2023-02-08,2023-02-10,2023-02-11,47 Hrs.,NARANJA
LLUVIA EN LA SELVA,020,2023-01-30,2023-01-31,2023-02-02,71 Hrs.,NARANJA
INCREMENTO DE VIENTO EN LA SIERRA NORTE,016,2023-01-21,2023-01-23,2023-01-25,71 Hrs.,AMARILLO
LLUVIA EN LA SELVA,013,2023-01-17,2023-01-18,2023-01-20,59 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA,012,2023-01-16,2023-01-18,2023-01-20,71 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA NORTE Y CENTRO,007,2023-01-10,2023-01-12,2023-01-13,47 Hrs.,AMARILLO
LLUVIA EN LA SELVA NORTE,005,2023-01-05,2023-01-07,2023-01-08,47 Hrs.,AMARILLO
INCREMENTO DE TEMPERATURA DIURNA EN LA SELVA NORTE Y CENTRO,262,2022-12-25,2022-12-27,2022-12-28,37 Hrs.,AMARILLO
PRECIPITACIONES EN LA SIERRA,256,2022-12-20,2022-12-22,2022-12-24,59 Hrs.,AMARILLO
DESCENSO DE TEMPERATURA NOCTURNA EN LA SIERRA (EXTENSIÓN DEL AVISO 242),244,2022-12-01,2022-12-03,2022-12-05,56 Hrs.,ROJO
LLUVIA EN LA SELVA,243,2022-11-30,2022-12-02,2022-12-03,47 Hrs.,AMARILLO
LLUVIA EN LA SELVA,238,2022-11-19,2022-11-22,2022-11-24,60 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA NORTE Y CENTRO,235,2022-11-13,2022-11-15,2022-11-17,71 Hrs.,AMARILLO
LLUVIA EN LA SELVA,234,2022-11-12,2022-11-15,2022-11-17,60 Hrs.,NARANJA
INCREMENTO DE TEMPERATURA EN LA SELVA (EXTENSIÓN DEL AVISO 228),230,2022-11-06,2022-11-08,2022-11-09,47 Hrs.,NARANJA
INCREMENTO DE TEMPERATURA EN LA SELVA,228,2022-11-03,2022-11-05,2022-11-07,59 Hrs.,NARANJA
INCREMENTO DE VIENTO EN LA SELVA,225,2022-10-28,2022-10-31,2022-11-02,55 Hrs.,ROJO
VIGESIMO QUINTO FRIAJE EN LA SELVA,224,2022-10-28,2022-11-01,2022-11-03,71 Hrs.,ROJO
LLUVIA EN LA SELVA,223,2022-10-28,2022-10-31,2022-11-02,59 Hrs.,ROJO
LLUVIA EN LA SELVA,221,2022-10-27,2022-10-28,2022-10-29,47 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA NORTE Y CENTRO,218,2022-10-24,2022-10-26,2022-10-27,47 Hrs.,AMARILLO
PRECIPITACIONES EN LA SIERRA NORTE Y CENTRO,217,2022-10-22,2022-10-24,2022-10-25,47 Hrs.,NARANJA
LLUVIA EN LA SELVA,215,2022-10-19,2022-10-21,2022-10-23,59 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA NORTE Y CENTRO,214,2022-10-18,2022-10-19,2022-10-22,83 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA CENTRO Y NORTE,211,2022-10-15,2022-10-17,2022-10-18,47 Hrs.,AMARILLO
LLUVIA EN LA SELVA,210,2022-10-14,2022-10-16,2022-10-19,95 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA,209,2022-10-12,2022-10-14,2022-10-16,59 Hrs.,NARANJA
LLUVIA EN LA SELVA,208,2022-10-11,2022-10-13,2022-10-15,71 Hrs.,NARANJA
LLUVIA EN LA SELVA,205,2022-10-08,2022-10-10,2022-10-11,47 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA NORTE Y CENTRO,203,2022-10-06,2022-10-07,2022-10-09,71 Hrs.,AMARILLO
LLUVIA EN LA SELVA,202,2022-10-05,2022-10-07,2022-10-08,47 Hrs.,AMARILLO
PRECIPITACIONES EN LA SIERRA,198,2022-09-28,2022-09-30,2022-10-02,71 Hrs.,NARANJA
LLUVIA EN LA SELVA,197,2022-09-26,2022-09-29,2022-10-01,62 Hrs.,NARANJA
INCREMENTO DE TEMPERATURA DIURNA EN LA SELVA,196,2022-09-26,2022-09-27,2022-09-29,53 Hrs.,AMARILLO
LLUVIA EN LA SELVA,189,2022-09-20,2022-09-22,2022-09-24,71 Hrs.,AMARILLO
INCREMENTO DE TEMPERATURA DIURNA EN LA SELVA,187,2022-09-19,2022-09-20,2022-09-22,53 Hrs.,AMARILLO
PRECIPITACIONES EN LA SIERRA NORTE Y CENTRO,183,2022-09-14,2022-09-16,2022-09-16,23 Hrs.,AMARILLO
LLUVIA EN LA SELVA,181,2022-09-12,2022-09-14,2022-09-16,59 Hrs.,AMARILLO
INCREMENTO DE TEMPERATURA DIURNA EN LA SELVA,177,2022-09-05,2022-09-07,2022-09-09,56 Hrs.,AMARILLO
DESCENSO DE TEMPERATURA NOCTURNA EN LA SIERRA NORTE Y CENTRO,176,2022-09-05,2022-09-07,2022-09-08,47 Hrs.,NARANJA
DESCENSO DE TEMPERATURA NOCTURNA EN LA SIERRA NORTE Y CENTRO,171,2022-08-29,2022-08-31,2022-09-02,56 Hrs.,NARANJA
LLUVIA EN LA SELVA NORTE Y CENTRO,168,2022-08-26,2022-08-29,2022-08-30,42 Hrs.,AMARILLO
DESCENSO DE TEMPERATURA NOCTURNA EN LA SIERRA,165,2022-08-19,2022-08-21,2022-08-23,56 Hrs.,NARANJA
DECIMOQUINTO FRIAJE EN LA SELVA,163,2022-08-16,2022-08-19,2022-08-21,71 Hrs.,ROJO
LLUVIA EN LA SELVA,162,2022-08-16,2022-08-18,2022-08-20,46 Hrs.,NARANJA
LLUVIA EN LA SELVA,157,2022-08-06,2022-08-09,2022-08-11,63 Hrs.,NARANJA
LLUVIA EN LA SELVA NORTE Y CENTRO,153,2022-08-03,2022-08-04,2022-08-05,35 Hrs.,AMARILLO
INCREMENTO DE TEMPERATURA DIURNA EN LA SELVA,147,2022-07-25,2022-07-27,2022-07-29,61 Hrs.,NARANJA
LLUVIA EN LA SIERRA NORTE,145,2022-07-24,2022-07-25,2022-07-26,47 Hrs.,AMARILLO
INCREMENTO DE VIENTO EN LA SIERRA NORTE Y CENTRO,141,2022-07-16,2022-07-18,2022-07-19,47 Hrs.,AMARILLO
LLUVIA EN LA SELVA,139,2022-07-14,2022-07-16,2022-07-18,57 Hrs.,NARANJA
INCREMENTO DE VIENTO EN LA SIERRA NORTE,131,2022-07-01,2022-07-03,2022-07-05,59 Hrs.,AMARILLO
DESCENSO DE TEMPERATURA NOCTURNA EN LA SIERRA,128,2022-06-28,2022-06-30,2022-07-02,56 Hrs.,NARANJA
NOVENO FRIAJE EN LA SELVA,110,2022-06-09,2022-06-11,2022-06-13,71 Hrs.,NARANJA
LLUVIA EN LA SELVA,109,2022-06-08,2022-06-09,2022-06-11,57 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA NORTE Y CENTRO,097,2022-05-16,2022-05-17,2022-05-18,35 Hrs.,AMARILLO
LLUVIA EN LA SELVA,095,2022-05-12,2022-05-15,2022-05-17,59 Hrs.,NARANJA
LLUVIA EN LA SELVA,092,2022-05-02,2022-05-04,2022-05-06,71 Hrs.,NARANJA
LLUVIA EN LA SELVA NORTE Y CENTRO,089,2022-04-27,2022-04-29,2022-04-30,47 Hrs.,AMARILLO
LLUVIA EN LA SELVA,083,2022-04-13,2022-04-14,2022-04-16,59 Hrs.,NARANJA
LLUVIA EN LA SELVA,078,2022-04-06,2022-04-08,2022-04-09,47 Hrs.,AMARILLO
PRECIPITACIONES EN LA SIERRA (EXTENSIÓN DEL AVISO 074),077,2022-03-31,2022-04-02,2022-04-02,23 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA,074,2022-03-28,2022-03-30,2022-04-01,71 Hrs.,NARANJA
LLUVIA EN LA SELVA,072,2022-03-27,2022-03-28,2022-03-28,23 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA,069,2022-03-23,2022-03-24,2022-03-26,57 Hrs.,AMARILLO
LLUVIA EN LA SELVA (ACTUALIZACIÓN DEL AVISO 067),068,2022-03-23,2022-03-25,2022-03-27,55 Hrs.,NARANJA
LLUVIA EN LA SELVA (AVISO CANCELADO),067,2022-03-22,2022-03-25,2022-03-27,55 Hrs.,NARANJA
LLUVIA EN LA SELVA,064,2022-03-17,2022-03-19,2022-03-21,71 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA (ACTUALIZACIÓN DEL AVISO 058),059,2022-03-14,2022-03-15,2022-03-16,47 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA (AVISO CANCELADO),058,2022-03-13,2022-03-15,2022-03-16,47 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA,057,2022-03-11,2022-03-13,2022-03-14,47 Hrs.,NARANJA
LLUVIA EN LA SELVA,055,2022-03-09,2022-03-12,2022-03-14,59 Hrs.,NARANJA
LLUVIA EN LA SELVA,051,2022-03-07,2022-03-08,2022-03-09,47 Hrs.,NARANJA
LLUVIA EN LA SELVA,049,2022-03-04,2022-03-05,2022-03-06,47 Hrs.,NARANJA
LLUVIA EN LA SELVA,043,2022-02-23,2022-02-25,2022-02-26,47 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA,036,2022-02-14,2022-02-15,2022-02-17,59 Hrs.,NARANJA
LLUVIA EN LA SELVA,034,2022-02-10,2022-02-12,2022-02-14,59 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA,022,2022-01-24,2022-01-26,2022-01-27,35 Hrs.,NARANJA
LLUVIA EN LA SELVA,021,2022-01-24,2022-01-25,2022-01-26,47 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA (EXTENSIÓN DEL AVISO 016),017,2022-01-21,2022-01-23,2022-01-23,23 Hrs.,AMARILLO
INCREMENTO DE TEMPERATURA EN LA SELVA NORTE  Y CENTRO,003,2022-01-04,2022-01-06,2022-01-08,71 Hrs.,ROJO
LLUVIA EN SELVA (EXTENSIÓN DEL AVISO 233),234,2021-12-16,2021-12-18,2021-12-18,23 Hrs.,NARANJA
LLUVIA EN LA SELVA,223,2021-12-01,2021-12-03,2021-12-04,29 Hrs.,NARANJA
LLUVIA EN LA SELVA,216,2021-11-15,2021-11-17,2021-11-19,59 Hrs.,NARANJA
LLUVIA EN LA SELVA,214,2021-11-10,2021-11-11,2021-11-13,71 Hrs.,NARANJA
LLUVIA EN LA SELVA,213,2021-11-07,2021-11-08,2021-11-10,71 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA NORTE Y CENTRO,210,2021-11-04,2021-11-05,2021-11-07,57 Hrs.,NARANJA
LLUVIA EN LA SELVA,209,2021-11-02,2021-11-03,2021-11-05,71 Hrs.,AMARILLO
LLUVIA EN LA SELVA,205,2021-10-26,2021-10-28,2021-10-29,47 Hrs.,AMARILLO
LLUVIA EN LA SELVA,200,2021-10-22,2021-10-24,2021-10-27,77 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA,196,2021-10-15,2021-10-17,2021-10-18,35 Hrs.,NARANJA
LLUVIA EN LA SELVA,195,2021-10-15,2021-10-16,2021-10-19,95 Hrs.,NARANJA
INCREMENTO DE TEMPERATURA EN LA SELVA,192,2021-10-11,2021-10-13,2021-10-15,71 Hrs.,NARANJA
LLUVIA EN LA SELVA (EXTENSIÓN DEL AVISO 187),190,2021-10-05,2021-10-07,2021-10-07,23 Hrs.,AMARILLO
LLUVIA EN LA SELVA,187,2021-10-01,2021-10-04,2021-10-06,59 Hrs.,NARANJA
INCREMENTO DE VIENTO EN LA SIERRA NORTE Y CENTRO,184,2021-09-22,2021-09-24,2021-09-25,39 Hrs.,AMARILLO
INCREMENTO DE TEMPERATURA EN LA SELVA,177,2021-09-11,2021-09-12,2021-09-14,60 Hrs.,NARANJA
LLUVIA EN LA SELVA,175,2021-09-06,2021-09-09,2021-09-11,71 Hrs.,NARANJA
LLUVIA EN LA SELVA NORTE Y CENTRO,172,2021-08-28,2021-08-30,2021-08-30,23 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA NORTE Y CENTRO,171,2021-08-26,2021-08-28,2021-08-30,59 Hrs.,NARANJA
LLUVIA EN LA SELVA (ACTUALIZACIÓN DEL AVISO 167),170,2021-08-26,2021-08-26,2021-08-29,80 Hrs.,NARANJA
LLUVIA EN LA SELVA,167,2021-08-23,2021-08-26,2021-08-29,80 Hrs.,NARANJA
INCREMENTO DE VIENTO EN LA SIERRA NORTE,159,2021-08-08,2021-08-10,2021-08-12,59 Hrs.,AMARILLO
DESCENSO DE TEMPERATURA NOCTURNA EN LA SIERRA (EXTENSIÓN DEL AVISO 154),155,2021-08-05,2021-08-07,2021-08-08,32 Hrs.,AMARILLO
INCREMENTO DE VIENTO EN LA SIERRA NORTE,152,2021-07-31,2021-08-01,2021-08-02,35 Hrs.,AMARILLO
LLUVIA EN LA SELVA,147,2021-07-24,2021-07-28,2021-07-30,71 Hrs.,NARANJA
INCREMENTO DE TEMPERATURA EN LA SELVA,145,2021-07-22,2021-07-24,2021-07-26,63 Hrs.,AMARILLO
INCREMENTO DE VIENTO EN LA SIERRA NORTE,143,2021-07-20,2021-07-21,2021-07-22,47 Hrs.,NARANJA
INCREMENTO DE VIENTO EN LA SIERRA NORTE,141,2021-07-16,2021-07-19,2021-07-20,47 Hrs.,AMARILLO
LLUVIA EN LA SELVA,139,2021-07-14,2021-07-17,2021-07-19,53 Hrs.,NARANJA
DESCENSO DE TEMPERATURA NOCTURNA EN LA SIERRA (EXTENSIÓN DEL AVISO 132),134,2021-07-02,2021-07-04,2021-07-06,56 Hrs.,ROJO
LLUVIA EN LA SELVA,130,2021-06-25,2021-06-27,2021-06-30,82 Hrs.,NARANJA
UNDÉCIMO FRIAJE EN LA SELVA,129,2021-06-24,2021-06-28,2021-07-01,95 Hrs.,ROJO
LLUVIA EN LA SELVA NORTE,125,2021-06-16,2021-06-18,2021-06-19,34 Hrs.,AMARILLO
LLUVIA EN LA SELVA,117,2021-06-08,2021-06-11,2021-06-13,60 Hrs.,NARANJA
LLUVIA EN LA SELVA NORTE,116,2021-06-04,2021-06-06,2021-06-07,47 Hrs.,NARANJA
LLUVIA EN LA SELVA,112,2021-05-28,2021-05-30,2021-05-31,35 Hrs.,NARANJA
LLUVIA EN LA SELVA,105,2021-05-21,2021-05-23,2021-05-25,59 Hrs.,NARANJA
LLUVIA EN LA SELVA,100,2021-05-14,2021-05-15,2021-05-17,57 Hrs.,AMARILLO
LLUVIA EN LA SELVA,097,2021-05-10,2021-05-12,2021-05-13,47 Hrs.,AMARILLO
INCREMENTO DE VIENTO EN LA SIERRA NORTE,095,2021-05-08,2021-05-10,2021-05-11,47 Hrs.,AMARILLO
